time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-05-04T12:27:46.420Z,33.4996667,-116.7865,6.78,0.47,ml,24,45,0.01716,0.16,ci,ci38478930,2020-05-04T12:31:16.677Z,"10km NE of Aguanga, CA",earthquake,0.24,0.52,0.073,14,automatic,ci,ci
2020-05-04T12:26:12.135Z,63.2487,-151.385,11.5,1.1,ml,,,,0.6,ak,ak0205qxh6jm,2020-05-04T12:32:47.082Z,"121km NNW of Talkeetna, Alaska",earthquake,,0.4,,,automatic,ak,ak
2020-05-04T12:23:29.720Z,19.2176666,-155.411499,30.22,2.45,ml,45,143,0.02376,0.15,hv,hv71498607,2020-05-04T12:29:02.370Z,"7km E of Pahala, Hawaii",earthquake,0.43,0.73,3.51,7,automatic,hv,hv
2020-05-04T12:18:20.550Z,38.8156662,-122.7801666,1.67,0.88,md,20,43,0.002438,0.03,nc,nc73380080,2020-05-04T12:34:03.067Z,"5km NNW of The Geysers, CA",earthquake,0.22,0.36,0.13,5,automatic,nc,nc
2020-05-04T12:18:12.050Z,33.3003333,-116.1361667,0.97,1.01,ml,25,85,0.1459,0.29,ci,ci38478922,2020-05-04T12:22:05.154Z,"17km W of Salton City, CA",earthquake,0.5,31.61,0.178,21,automatic,ci,ci
2020-05-04T12:09:58.290Z,19.2075005,-155.399826,31.7,2.24,md,45,157,0.02993,0.12,hv,hv71498597,2020-05-04T12:13:05.980Z,"8km E of Pahala, Hawaii",earthquake,0.53,0.7,0.17,31,automatic,hv,hv
2020-05-04T12:05:04.500Z,19.2210007,-155.4031677,32.25,2.14,md,41,151,0.0858,0.13,hv,hv71498587,2020-05-04T12:08:14.170Z,"8km ENE of Pahala, Hawaii",earthquake,0.49,0.55,0.24,20,automatic,hv,hv
2020-05-04T12:03:18.820Z,19.2280006,-155.3995056,31.12,2.12,md,40,148,0.009641,0.12,hv,hv71498582,2020-05-04T12:06:37.010Z,"8km ENE of Pahala, Hawaii",earthquake,0.54,0.71,0.03,18,automatic,hv,hv
2020-05-04T11:50:19.240Z,19.2124996,-155.402832,31.83,3.3,ml,56,151,0.02538,0.13,hv,hv71498552,2020-05-04T12:22:37.523Z,"8km E of Pahala, Hawaii",earthquake,0.44,0.58,3.31,39,automatic,hv,hv
2020-05-04T11:46:15.520Z,19.2246666,-155.4031677,32.59,3.21,ml,56,143,0.01385,0.13,hv,hv71498547,2020-05-04T12:38:01.457Z,"7km ENE of Pahala, Hawaii",earthquake,0.43,0.61,3.45,41,automatic,hv,hv
