time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-05-02T23:58:40.064Z,63.1095,-150.1429,85.5,1.9,ml,,,,0.6,ak,ak0205nt568m,2020-05-03T00:12:28.693Z,"67km WSW of Cantwell, Alaska",earthquake,,0.4,,,automatic,ak,ak
2020-05-02T23:54:26.175Z,61.7684,-150.8827,250,1.2,ml,,,,1.12,ak,ak0205nt4acl,2020-05-03T00:03:24.485Z,"44km W of Willow, Alaska",earthquake,,5.2,,,automatic,ak,ak
2020-05-02T23:49:13.706Z,43.1531,18.0597,10,3.3,ml,,83,1.142,0.41,us,us700099gx,2020-05-03T21:32:25.708Z,"11km NE of Stolac, Bosnia and Herzegovina",earthquake,4.7,2,0.057,40,reviewed,us,us
2020-05-02T23:48:23.460Z,62.2194,-148.2791,28.9,1.5,ml,,,,0.53,ak,ak0205nt2zu2,2020-05-02T23:53:31.480Z,"55km NNE of Sutton-Alpine, Alaska",earthquake,,0.2,,,automatic,ak,ak
2020-05-02T23:47:09.160Z,33.5863333,-116.8218333,4.3,0.56,ml,15,104,0.04865,0.21,ci,ci38477466,2020-05-02T23:50:53.553Z,"14km WNW of Anza, CA",earthquake,0.87,0.56,0.148,3,automatic,ci,ci
2020-05-02T23:45:37.280Z,35.8548,-116.1427,1,1.8,ml,8,340.13,0.636,0.3,nn,nn00724302,2020-05-03T00:16:00.879Z,"41km SSW of Pahrump, Nevada",earthquake,,24.2,,,automatic,nn,nn
2020-05-02T23:44:37.050Z,32.7553333,-115.4306667,16.91,3.58,ml,82,36,0.05166,0.3,ci,ci38477458,2020-05-04T02:51:05.590Z,"8km SW of Holtville, CA",earthquake,0.22,0.41,0.123,179,reviewed,ci,ci
2020-05-02T23:37:32.980Z,35.6718333,-117.5351667,2.03,1.18,ml,10,134,0.1523,0.13,ci,ci38477450,2020-05-02T23:41:16.730Z,"14km ENE of Ridgecrest, CA",earthquake,0.39,0.59,0.169,15,automatic,ci,ci
2020-05-02T23:26:49.070Z,17.9413,-66.6436,7,2.73,md,20,188,0.1082,0.16,pr,pr2020123043,2020-05-04T02:02:14.448Z,"8km SSW of Ponce, Puerto Rico",earthquake,0.55,0.28,0.15,12,reviewed,pr,pr
2020-05-02T23:18:03.811Z,58.0722,-154.2299,60.1,1.5,ml,,,,0.45,ak,ak0205nswiu7,2020-05-02T23:23:04.480Z,"61km NNW of Larsen Bay, Alaska",earthquake,,0.7,,,automatic,ak,ak
2020-05-02T23:03:11.320Z,36.721,-115.4928,0,1.5,ml,21,97.06,0.346,0.29,nn,nn00724299,2020-05-02T23:07:07.229Z,"65km NW of Nellis Air Force Base, Nevada",earthquake,,12.8,,,automatic,nn,nn
2020-05-02T22:58:14.424Z,62.9558,-149.5844,68.8,1.9,ml,,,,0.81,ak,ak0205nsjops,2020-05-02T23:12:11.447Z,"58km SSW of Cantwell, Alaska",earthquake,,0.7,,,automatic,ak,ak
2020-05-02T22:48:48.185Z,57.163,-152.4431,31.4,1.6,ml,,,,0.52,ak,ak0205nshm4y,2020-05-02T22:52:14.595Z,"67km S of Kodiak Station, Alaska",earthquake,,0.3,,,automatic,ak,ak
2020-05-02T22:43:55.650Z,33.8205,-117.6425,5.31,1,ml,20,93,0.03751,0.26,ci,ci38477434,2020-05-02T22:47:44.216Z,"9km SW of Corona, CA",earthquake,0.51,0.73,0.236,22,automatic,ci,ci
2020-05-02T22:31:29.814Z,62.3456,-151.2348,88.2,1.2,ml,,,,0.21,ak,ak0205nsdxjy,2020-05-02T22:42:41.741Z,"58km W of Talkeetna, Alaska",earthquake,,1.1,,,automatic,ak,ak
2020-05-02T22:24:49.290Z,19.3091,-67.389,51,3.55,md,22,291,0.8863,0.33,pr,pr2020123028,2020-05-03T07:46:23.857Z,"66km N of San Antonio, Puerto Rico",earthquake,2.09,7.13,0.12,18,reviewed,pr,pr
2020-05-02T22:24:17.780Z,17.966,-66.701,9,2.67,md,21,182,0.122,0.09,pr,pr2020123029,2020-05-03T10:15:45.147Z,"3km SSE of Tallaboa, Puerto Rico",earthquake,0.38,0.36,0.12,9,reviewed,pr,pr
2020-05-02T22:22:53.340Z,32.9323333,-116.2321667,10.32,1.26,ml,28,63,0.06387,0.18,ci,ci38477418,2020-05-02T22:26:37.797Z,"25km SSW of Ocotillo Wells, CA",earthquake,0.31,0.59,0.106,25,automatic,ci,ci
2020-05-02T22:16:58.010Z,17.9436,-66.7193,7,3.33,md,22,188,0.1504,0.14,pr,pr2020123027,2020-05-03T08:13:55.912Z,"12km S of Tallaboa, Puerto Rico",earthquake,0.41,0.24,0.16,18,reviewed,pr,pr
