time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-05-03T23:58:44.100Z,38.829834,-122.8041687,1.58,1.03,md,25,57,0.007913,0.02,nc,nc73379910,2020-05-04T01:58:02.775Z,"7km W of Cobb, CA",earthquake,0.19,0.36,0.06,6,automatic,nc,nc
2020-05-03T23:48:06.690Z,33.5898333,-116.8035,5.99,0.36,ml,21,64,0.03311,0.16,ci,ci38478490,2020-05-03T23:51:53.743Z,"13km WNW of Anza, CA",earthquake,0.4,0.57,0.106,11,automatic,ci,ci
2020-05-03T23:39:21.573Z,66.2643,-157.2113,1.5,1.3,ml,,,,0.71,ak,ak0205pgker5,2020-05-03T23:53:16.484Z,"73km SSW of Kobuk, Alaska",earthquake,,0.3,,,automatic,ak,ak
2020-05-03T23:36:47.490Z,36.031,-117.7071667,2.28,0.84,ml,10,83,0.04744,0.08,ci,ci38478482,2020-05-03T23:40:19.700Z,"21km ENE of Little Lake, CA",earthquake,0.23,0.24,0.224,9,automatic,ci,ci
2020-05-03T23:05:51.730Z,33.4995,-116.7885,6.61,0.75,ml,33,33,0.07841,0.24,ci,ci38478466,2020-05-03T23:09:39.762Z,"10km NE of Aguanga, CA",earthquake,0.29,0.91,0.102,22,automatic,ci,ci
2020-05-03T22:48:46.593Z,36.88150406,-97.45597839,5,2.52,ml,68,108.4796371,0.1322916746,0.7309696306,ok,ok2020isma,2020-05-03T22:53:06.561Z,"17km WNW of Blackwell, Oklahoma",earthquake,1.862505627,,,51,automatic,ok,ok
2020-05-03T22:42:24.005Z,54.7348,-160.586,25.6,1.5,ml,,,,0.56,ak,ak0205pfzkup,2020-05-04T04:55:35.092Z,"66km W of Chernabura Island, Alaska",earthquake,,1.5,,,reviewed,ak,ak
2020-05-03T22:29:11.580Z,38.8233337,-122.762001,2.27,0.56,md,11,194,0.009433,0.03,nc,nc73379895,2020-05-04T00:36:04.271Z,"3km W of Cobb, CA",earthquake,0.45,0.64,,1,automatic,nc,nc
2020-05-03T22:21:30.078Z,60.1142,-152.591,88.1,1.7,ml,,,,0.46,ak,ak0205pfv4wn,2020-05-03T22:32:08.651Z,"42km SSE of Redoubt Volcano, Alaska",earthquake,,0.5,,,automatic,ak,ak
2020-05-03T22:08:49.900Z,34.0273333,-118.2121667,16.01,1.37,ml,27,81,0.07977,0.22,ci,ci38478434,2020-05-03T22:12:37.674Z,"4km W of East Los Angeles, CA",earthquake,0.51,0.73,0.219,32,automatic,ci,ci
2020-05-03T21:48:22.569Z,38.2328,-118.3554,5.9,1.3,ml,10,118.4,0.119,0.1567,nn,nn00724352,2020-05-04T02:10:07.430Z,"40km SE of Hawthorne, Nevada",earthquake,,2.6,0.26,5,reviewed,nn,nn
2020-05-03T21:47:12.040Z,33.4003333,-115.8938333,13.38,1.73,ml,9,188,0.3139,0.15,ci,ci38478426,2020-05-04T05:49:53.306Z,"13km NNE of Salton City, CA",earthquake,1.57,2.25,0.125,9,automatic,ci,ci
