time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-04-30T23:56:59.370Z,32.9935,-115.7641667,7.64,1.46,ml,41,43,0.05686,0.25,ci,ci38475034,2020-05-01T14:28:25.568Z,"14km WSW of Westmorland, CA",earthquake,0.24,0.66,0.145,25,reviewed,ci,ci
2020-04-30T23:55:25.440Z,17.998,-66.8518,13,2.96,md,22,133,0.0357,0.2,pr,pr2020121025,2020-05-01T07:57:59.633Z,"2km E of Yauco, Puerto Rico",earthquake,0.54,0.4,0.36,20,reviewed,pr,pr
2020-04-30T23:46:58.820Z,19.2088337,-155.4083405,32.83,1.85,md,20,184,0.07353,0.11,hv,hv71494727,2020-04-30T23:50:07.790Z,"7km E of Pahala, Hawaii",earthquake,0.75,0.94,0.04,5,automatic,hv,hv
2020-04-30T23:42:37.220Z,60.3284,-152.6344,104.4,1.5,ml,,,,0.63,ak,ak0205khz1i5,2020-04-30T23:47:39.727Z,"18km SSE of Redoubt Volcano, Alaska",earthquake,,0.9,,,automatic,ak,ak
2020-04-30T23:40:58.217Z,62.051,-149.3715,61.4,1.3,ml,,,,1.22,ak,ak0205khynst,2020-04-30T23:44:18.319Z,"27km ESE of Y, Alaska",earthquake,,0.8,,,automatic,ak,ak
2020-04-30T23:38:10.880Z,19.2105007,-155.4166718,32.11,1.83,md,24,162,0.0324,0.11,hv,hv71494717,2020-04-30T23:41:21.780Z,"6km E of Pahala, Hawaii",earthquake,0.72,0.79,0.08,5,automatic,hv,hv
2020-04-30T23:26:50.380Z,38.7879982,-122.7695007,1.38,0.93,md,20,80,0.01475,0.03,nc,nc73378705,2020-04-30T23:48:03.402Z,"2km NW of The Geysers, CA",earthquake,0.22,0.39,0.29,5,automatic,nc,nc
2020-04-30T23:20:24.173Z,63.1624,-150.5455,113.7,1.3,ml,,,,0.5,ak,ak0205khuauo,2020-04-30T23:24:02.610Z,"84km WSW of Cantwell, Alaska",earthquake,,1.5,,,automatic,ak,ak
2020-04-30T23:19:47.010Z,32.374,-115.419,16.17,2.4,ml,27,113,0.1066,0.3,ci,ci38475018,2020-05-02T00:33:14.470Z,"21km W of Delta, B.C., MX",earthquake,0.65,1.53,0.186,78,reviewed,ci,ci
2020-04-30T23:15:09.450Z,64.9373,-147.2908,0,1.5,ml,,,,1.09,ak,ak0205kht71z,2020-04-30T23:28:13.916Z,"19km NE of Badger, Alaska",earthquake,,0.3,,,automatic,ak,ak
2020-04-30T23:08:48.250Z,33.506,-116.4908333,14.14,1.72,ml,31,44,0.06135,0.17,ci,ci38475002,2020-05-01T13:17:45.100Z,"18km ESE of Anza, CA",earthquake,0.29,0.45,0.315,19,reviewed,ci,ci
2020-04-30T23:08:34.190Z,33.5008333,-116.5001667,13.24,1.81,ml,58,33,0.06211,0.18,ci,ci38474994,2020-05-01T13:18:36.990Z,"17km ESE of Anza, CA",earthquake,0.19,0.38,0.168,25,reviewed,ci,ci
2020-04-30T23:04:42.390Z,36.2935,-98.18766667,7.22,1.52,ml,38,50,0.04229170093,0.25,ok,ok2020inab,2020-05-01T16:56:28.533Z,"22km NNE of Okeene, Oklahoma",earthquake,,0.5,0.23,7,reviewed,ok,ok
2020-04-30T23:03:35.490Z,33.5036667,-116.502,10.91,0.72,ml,29,59,0.0589,0.19,ci,ci38474986,2020-05-01T13:18:13.103Z,"17km ESE of Anza, CA",earthquake,0.27,0.57,0.126,22,reviewed,ci,ci
2020-04-30T23:02:38.119Z,36.30083333,-98.17733333,7.71,0.94,ml,13,92,0.03689276038,0.15,ok,ok2020inaa,2020-05-01T18:53:26.251Z,"24km NNE of Okeene, Oklahoma",earthquake,,0.5,0.31,5,reviewed,ok,ok
2020-04-30T23:02:31.440Z,36.29666667,-98.181,7.55,1.17,ml,14,93,0.03959223065,0.13,ok,ok2020imzz,2020-05-01T18:30:38.758Z,"23km NNE of Okeene, Oklahoma",earthquake,,0.4,0.32,4,reviewed,ok,ok
2020-04-30T23:02:09.470Z,17.9165,-66.9268,13,2.39,md,11,229,0.0755,0.18,pr,pr2020121024,2020-04-30T23:26:57.859Z,"6km SSW of Guanica, Puerto Rico",earthquake,0.88,0.56,0.29,4,reviewed,pr,pr
2020-04-30T22:59:50.956Z,56.4216,-149.9918,10,2.8,ml,,234,1.965,1.01,us,us700097zq,2020-05-01T00:49:15.040Z,"211km SE of Kodiak, Alaska",earthquake,8.7,2,0.056,42,reviewed,us,us
2020-04-30T22:53:43.590Z,36.1275,-117.9041667,5.98,0.73,ml,15,143,0.04113,0.1,ci,ci38474962,2020-05-01T04:57:52.202Z,"10km NNE of Coso Junction, CA",earthquake,0.2,0.43,0.186,8,reviewed,ci,ci
2020-04-30T22:50:51.550Z,52.0731667,-176.1213333,2.35,-0.15,ml,4,200,0.0242,0.15,av,av70890979,2020-05-01T07:39:47.340Z,"42km ENE of Adak, Alaska",earthquake,0.68,1.26,0.107,4,reviewed,av,av
2020-04-30T22:38:39.210Z,52.0683333,-176.1051667,-0.13,-0.37,ml,4,164,0.02906,0.07,av,av70890974,2020-05-01T07:36:44.470Z,"43km ENE of Adak, Alaska",earthquake,0.49,0.38,0.15,4,reviewed,av,av
2020-04-30T22:37:14.436Z,38.032,-118.7331,8.7,1,ml,4,349.16,0.284,0.1211,nn,nn00724130,2020-05-01T02:09:59.836Z,"47km NNE of Mammoth Lakes, California",earthquake,,21.6,0,1,reviewed,nn,nn
